name,norm_name,affiliation
Anton Arhipov,anton arhipov,JetBrains
Alex Soto,alex soto,IBM
Dan Vega,dan vega,Broadcom
Gerrit Grunwald,gerrit grunwald,Azul Systems
Kenneth Kousen,kenneth kousen,Kousen IT
Milen Dyankov,milen dyankov,
Victor Rentea,victor rentea,
Roberto Cortez,roberto cortez,
Ioannis Kolaxis,ioannis kolaxis,
Jonathan Vila López,jonathan vila lopez,
Venkat Subramaniam,venkat subramaniam,
Marit van Dijk,marit van dijk,JetBrains
Stefan Angelov,stefan angelov,
Ivan Yonkov,ivan yonkov,
Cay Horstmann,cay horstmann,
Piotr Przybył,piotr przyby,
Johannes Bechberger,johannes bechberger,
Hinse ter Schuur,hinse ter schuur,
Christian Heitzmann,christian heitzmann,
Willem Jan Glerum,willem jan glerum,
Marcin Chrost,marcin chrost,
Vadym Kazulkin,vadym kazulkin,
Emanuel Trandafir,emanuel trandafir,Baeldung
Arnaud Jean,arnaud jean,
Panche Chavkovski,panche chavkovski,
Kristiyan Stoyanov,kristiyan stoyanov,
Lyubomir Bozhinov,lyubomir bozhinov,
Viktoriya Kutsarova,viktoriya kutsarova,
Kevin Dubois,kevin dubois,
Jordan Jovkov,jordan jovkov,
François Martin,francois martin,
Thanos Stratikopoulos,thanos stratikopoulos,
Sergi Almar,sergi almar,
Nayden Gochev,nayden gochev,
Josh Long,josh long,Broadcom
Juergen Hoeller,juergen hoeller,Broadcom
Dave Syer,dave syer,Broadcom
Oliver Drotbohm,oliver drotbohm,Broadcom
Sébastien Deleuze,sebastien deleuze,Broadcom
Thomas Vitale,thomas vitale,Systematic
Siva Prasad Reddy Katamreddy,siva prasad reddy katamreddy,JetBrains
Mark Pollack,mark pollack,Broadcom
Christian Tzolov,christian tzolov,Broadcom
Daniel Garnier-Moiroux,daniel garnier moiroux,Broadcom
Rod Johnson,rod johnson,Embabel
Tim te Beek,tim te beek,Moderne
Marcin Grzejszczak,marcin grzejszczak,HeroDevs
Jonatan Ivanov,jonatan ivanov,Broadcom
Rossen Stoyanchev,rossen stoyanchev,Broadcom
Thorben Janssen,thorben janssen,Independent
Mauricio Salatino,mauricio salatino,Dash0
James Ward,james ward,AWS
Alina Yurenko,alina yurenko,Oracle
Mark Paluch,mark paluch,Broadcom
Stephen Chin,stephen chin,
Viktor Gamov,viktor gamov,
Baruch Sadogursky,baruch sadogursky,
Markus Eisele,markus eisele,
Ivar Grimstad,ivar grimstad,
Jennifer Reif,jennifer reif,
Simon Ritter,simon ritter,
Daniel Oh,daniel oh,
Nathaniel Schutta,nathaniel schutta,
Rustam Mehmandarov,rustam mehmandarov,
Raphael De Lio,raphael de lio,
Pasha Finkelshteyn,pasha finkelshteyn,
Brian Vermeer,brian vermeer,
Cedric Clyburn,cedric clyburn,
Ted M. Young,ted m young,
Billy Korando,billy korando,
Chandra Guntur,chandra guntur,
Douglas Hawkins,douglas hawkins,
Olena Kutsenko,olena kutsenko,
David Vlijmincx,david vlijmincx,
Adam Bien,adam bien,
Adam Warski,adam warski,
Charles Nutter,charles nutter,
Heinz Kabutz,heinz kabutz,
Jaroslav Tulach,jaroslav tulach,
Maurice Naftalin,maurice naftalin,
Nicolas Fränkel,nicolas frankel,
Otavio Santana,otavio santana,
Mohamed Taman,mohamed taman,
Dmytro Vyazelenko,dmytro vyazelenko,
Bazlur Rahman,bazlur rahman,
Andrzej Grzesik,andrzej grzesik,
Natan Silnitsky,natan silnitsky,
Tomer Gabel,tomer gabel,
Andrus Adamchik,andrus adamchik,
Mete Atamel,mete atamel,
Ron Veen,ron veen,
Nick Palmer,nick palmer,
Artur Skowronski,artur skowronski,
